dataset,split,group,image,original_split
dataset_1,train,0534,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0534_jpg.rf.eb15edaf81b51f198832896dce559b61.jpg,train
dataset_1,train,IMG_20250729_083931,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083931_jpg.rf.4e5966b0aeeb4bab9169adc4cca3452d.jpg,train
dataset_1,test,IMG_20250806_104026,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104026_jpg.rf.727a8c35ab40a9e707ec4b0b3d83362a.jpg,train
dataset_1,train,IMG_20250729_084335,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084335_jpg.rf.dbf74e92944b6beaa77fab361b76d1e7.jpg,train
dataset_1,val,IMG_20250729_084604,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084604_jpg.rf.ed5487791f51a1ad8b97a0bd3dfa5d9a.jpg,train
dataset_1,train,IMG_20250729_133041,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_133041_jpg.rf.186856f8ba96847e2277058bb1a5fd22.jpg,train
dataset_1,train,0474,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/0474_jpg.rf.8631ad07c11380cd11439951f4d5bd6d.jpg,train
dataset_1,train,stacked-euro-pallets-25602326,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/stacked-euro-pallets-25602326_jpg.rf.b116a60b469d5c861144de93736c2354.jpg,train
dataset_1,test,2F6NX99,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/2F6NX99_jpg.rf.ab4e9ca2f13a23431cd2d8bf7d11184c.jpg,train
dataset_1,train,IMG_20250806_104115,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104115_jpg.rf.23f4439503360b038e6236e3d5f216ed.jpg,train
dataset_1,train,stacks-wooden-pallets-builders-yard-block-paved-surronded-lush-green-trees-overcast-day-169618883,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/stacks-wooden-pallets-builders-yard-block-paved-surronded-lush-green-trees-overcast-day-169618883_jpg.rf.74ec29b74dea627ddf646fd2a7443a68.jpg,train
dataset_1,train,IMG_20250806_103925,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_103925_jpg.rf.db71655a0d4881822d7200e642bfe8a0.jpg,train
dataset_1,train,IMG_20250729_084021,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084021_jpg.rf.f8ea1aa68689ba0a1fe136356fddf52b.jpg,train
dataset_1,val,image24,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/image24_jpg.rf.14a0babc2ec802bcacd1a0bbdf86f48e.jpg,train
dataset_1,train,IMG_20250806_104129,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104129_jpg.rf.b8abd18f55841089193a4012e460a748.jpg,train
dataset_1,test,wooden-pallets-stacks-cargo-shipping-60794370,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/wooden-pallets-stacks-cargo-shipping-60794370_jpg.rf.050c58ccc606be2ae09aca800a551e01.jpg,train
dataset_1,train,IMG_20250729_084250,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084250_jpg.rf.5cd0152ac433ab13a4bf72741850250f.jpg,train
dataset_1,train,IMG_20250729_084205,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084205_jpg.rf.30b3a41509c12922bf11155e6200b27e.jpg,train
dataset_1,val,IMG_20250806_104418,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104418_jpg.rf.b51ba145d0a76d62b32e6e24e676ebdf.jpg,train
dataset_1,train,IMG_20250729_084524,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_084524_jpg.rf.b73486521896ac4e28337b2340c1efb6.jpg,train
dataset_1,train,IMG_20250729_083847,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250729_083847_jpg.rf.5fc650b7b4f634f30fd0b89fab7b0101.jpg,train
dataset_1,train,PR6C9W,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/PR6C9W_jpg.rf.3db72dd13fb78fa4376174a5c61afd61.jpg,train
dataset_1,train,IMG_20250806_104135,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_1/train/images/IMG_20250806_104135_jpg.rf.688eead3bf1955c95dbe1d63bf76d638.jpg,train
