distance_m,ex_m,experiment,ey_m,height_error_m,pass,pass_rate,reprojection_rms_px,rotation_deg,rotation_p95_deg,sigma_px,tilt_error_deg,translation_m,translation_p95_m,view_angle_deg
,0.0,zero_noise,3.608224830031759e-16,,1,,0.0,2.842170943040401e-14,,0.0,,3.608224830031759e-16,,
,8.881784197001252e-16,zero_noise,0.0,,1,,4.4938668397781776e-14,5.684341886080802e-14,,0.0,,8.881784197001252e-16,,
,4.440892098500626e-16,zero_noise,2.220446049250313e-16,,1,,6.029155041345696e-14,0.0,,0.0,,4.965068306494546e-16,,
,4.440892098500626e-16,zero_noise,2.220446049250313e-16,,1,,7.03849876379044e-14,2.842170943040401e-14,,0.0,,4.965068306494546e-16,,
,0.0,zero_noise,3.3306690738754696e-16,,1,,4.0194366942304644e-14,2.842170943040401e-14,,0.0,,3.3306690738754696e-16,,
,0.0,zero_noise,4.440892098500626e-16,,1,,8.038873388460929e-14,0.0,,0.0,,4.440892098500626e-16,,
,8.881784197001252e-16,zero_noise,5.551115123125783e-16,,1,,4.4938668397781776e-14,5.684341886080802e-14,,0.0,,1.047382306668854e-15,,
,0.0,zero_noise,1.1102230246251565e-16,,1,,2.0097183471152322e-14,2.842170943040401e-14,,0.0,,1.1102230246251565e-16,,
,4.440892098500626e-16,zero_noise,0.0,,1,,4.0194366942304644e-14,2.842170943040401e-14,,0.0,,4.440892098500626e-16,,
,4.440892098500626e-16,zero_noise,3.608224830031759e-16,,1,,2.0097183471152322e-14,0.0,,0.0,,5.721958498152797e-16,,
,0.0,zero_noise,5.551115123125783e-16,,1,,8.28628102289784e-14,5.684341886080802e-14,,0.0,,5.551115123125783e-16,,
,0.0,zero_noise,1.4432899320127035e-15,,1,,2.0097183471152322e-14,1.1368683772161603e-13,,0.0,,1.4432899320127035e-15,,
,0.0,zero_noise,5.551115123125783e-17,,1,,4.4938668397781776e-14,2.842170943040401e-14,,0.0,,5.551115123125783e-17,,
,4.440892098500626e-16,zero_noise,1.1102230246251565e-16,,1,,6.029155041345696e-14,0.0,,0.0,,4.577566798522237e-16,,
,0.0,zero_noise,8.881784197001252e-16,,1,,0.0,8.526512829121202e-14,,0.0,,8.881784197001252e-16,,
,4.440892098500626e-16,zero_noise,2.220446049250313e-16,,1,,5.684341886080802e-14,5.684341886080802e-14,,0.0,,4.965068306494546e-16,,
,0.0,zero_noise,4.440892098500626e-16,,1,,4.9227844771419234e-14,0.0,,0.0,,4.440892098500626e-16,,
,8.881784197001252e-16,zero_noise,4.440892098500626e-16,,1,,8.038873388460929e-14,5.684341886080802e-14,,0.0,,9.930136612989092e-16,,
,2.220446049250313e-16,zero_noise,1.1102230246251565e-16,,1,,4.4938668397781776e-14,2.842170943040401e-14,,0.0,,2.482534153247273e-16,,
,2.220446049250313e-16,zero_noise,4.440892098500626e-16,,1,,9.264343823933031e-14,5.684341886080802e-14,,0.0,,4.965068306494546e-16,,
,0.0,zero_noise,4.718447854656915e-16,,1,,0.0,2.842170943040401e-14,,0.0,,4.718447854656915e-16,,
,0.0,zero_noise,3.3306690738754696e-16,,1,,5.684341886080802e-14,2.842170943040401e-14,,0.0,,3.3306690738754696e-16,,
,4.440892098500626e-16,zero_noise,4.440892098500626e-16,,1,,4.0194366942304644e-14,2.842170943040401e-14,,0.0,,6.280369834735101e-16,,
,0.0,zero_noise,0.0,,1,,0.0,0.0,,0.0,,0.0,,
,4.440892098500626e-16,zero_noise,3.3306690738754696e-16,,1,,4.0194366942304644e-14,0.0,,0.0,,5.551115123125783e-16,,
,0.0,zero_noise,8.881784197001252e-16,,1,,2.842170943040401e-14,1.1368683772161603e-13,,0.0,,8.881784197001252e-16,,
,8.881784197001252e-16,zero_noise,1.2212453270876722e-15,,1,,2.0097183471152322e-14,1.1368683772161603e-13,,0.0,,1.5100665727558131e-15,,
,4.440892098500626e-16,zero_noise,0.0,,1,,5.684341886080802e-14,0.0,,0.0,,4.440892098500626e-16,,
,4.440892098500626e-16,zero_noise,0.0,,1,,4.4938668397781776e-14,0.0,,0.0,,4.440892098500626e-16,,
